category,item,option_or_size,price_ghs
Starters,Groundnut,,
Starters,Spring Roll,,
Starters,Samosa,,
Grills & Proteins,Chicken Wings / Thighs,,
Grills & Proteins,Turkey Wings,,
Grills & Proteins,Grilled Red Fish,,
Grills & Proteins,Grouper,,
Grills & Proteins,Octopus / Calamari,,
Grills & Proteins,Gizzard,,
Grills & Proteins,Goat Meat,,
Sides,Yam Chips,,
Sides,Potato Chips,,
Rice Meals,Chicken with Fried Rice,Grilled Chicken,
Rice Meals,Chicken with Fried Rice,Fried Chicken,
Rice Meals,Assorted Fried Rice,,
Rice Meals,Chicken with Jollof Rice,Grilled Chicken,
Rice Meals,Chicken with Jollof Rice,Fried Chicken,
Rice Meals,Assorted Jollof Rice,,
Rice Meals,Chicken with Plain Rice,Chicken Stew,
Rice Meals,Chicken with Plain Rice,Grilled Chicken,
Rice Meals,Chicken with Plain Rice,Fried Chicken,
Local Favourites,Banku & Tilapia,Medium,
Local Favourites,Banku & Tilapia,Large,
Local Favourites,Tilapia Light Soup,,
Local Favourites,Goat Meat Light Soup,,
Local Favourites,Ewokple Abobitadi,Medium,
Local Favourites,Ewokple Abobitadi,Large,
Local Favourites,Akyeke,,
Local Favourites,Eba,,
